,Detect,Mapping,Navigate,Review Status,Inspect,Explore
on C1,0.0,0.0,0.0,0.0,0.0,0.0
on C2,0.0,0.0,0.0,0.0,0.0,0.0
on Map,0.0,0.0,0.0,0.0,0.0,0.0
on Pointcloud,0.0,0.0,0.0,0.0,0.0,0.0
on ExtraView,0.0,0.0,0.0,0.0,0.0,0.0
on Main Screenshot,0.0,0.0,0.0,0.0,0.0,0.0
on Extra Screenshot,0.0,0.0,0.0,0.0,0.0,0.0
C1 clicked,0.0,0.0,0.0,0.0,0.0,0.0
C2 clicked,0.0,0.0,0.0,0.0,0.0,0.0
Map clicked,0.0,0.0,0.0,0.0,0.0,0.0
Pointcloud clicked,0.0,0.0,0.0,0.0,0.0,0.0
Extra clicked,0.0,0.0,0.0,0.0,0.0,0.0
On Main View,0.0,0.0,0.0,0.0,0.0,0.0
on Add View,0.0,0.0,0.0,0.0,0.0,0.0
Main Screenshot clicked,0.0,0.0,0.0,0.0,0.0,0.0
Extra Screenshot clicked,0.0,0.0,0.0,0.0,0.0,0.0
New clicked,0.0,0.0,0.0,0.0,0.0,0.0
Hide clicked,0.0,0.0,0.0,0.0,0.0,0.0
on Battery,0.0,0.0,0.0,0.0,0.0,0.0
Charge clicked,0.0,0.0,0.0,0.0,0.0,0.0
on Wifi,0.0,0.0,0.0,0.0,0.0,0.0
Repair clicked,0.0,0.0,0.0,0.0,0.0,0.0
up pressed,0.0,0.0,0.0,0.0,0.0,0.0
down pressed,0.0,0.0,0.0,0.0,0.0,0.0
left pressed,0.0,0.0,0.0,0.0,0.0,0.0
right pressed,0.0,0.0,0.0,0.0,0.0,0.0
accept clicked,0.0,0.0,0.0,0.0,0.0,0.0
reject clicked,0.0,0.0,0.0,0.0,0.0,0.0
